73b732ae-3ef7-4569-9fff-8142ad0da7ee, Client13, CNP13, C1, W1, 11:00, REZERVARE, 1769263658258
95ecb230-24b9-450e-af4f-d5f785da9df5, Client1, CNP1, C2, W4, 14:00, ANULATA, 1769263658286
69d7a4fc-f404-4958-bf71-afd46cc911ea, Client9, CNP9, C3, W4, 9:00, ANULATA, 1769263658266
451b52a9-2961-443e-bc31-f8baeea4aca4, Client8, CNP8, C3, W1, 9:00, ANULATA, 1769263658280
115e5d3b-8310-4a6a-b298-9cc9b539c96d, Client13, CNP13, C1, W1, 13:00, PLATITA, 1769263662282
4bd757cf-906a-47c2-b9fd-6c1ed8e66670, Client7, CNP7, C1, W3, 9:00, REZERVARE, 1769263664301
5f3e1ad7-e37b-41e1-b426-0a33b50a1bd3, Client11, CNP11, C2, W4, 12:00, PLATITA, 1769263662313
945045cf-1253-4b9f-b97d-3fc11186d80f, Client4, CNP4, C1, W1, 10:00, PLATITA, 1769263662315
35edc3d3-eea9-4e38-a80d-81e0784302fd, Client16, CNP16, C1, W4, 12:00, PLATITA, 1769263662321
d5d941c9-ae75-469e-b8ef-25af83bcd944, Client17, CNP17, C3, W3, 16:00, REZERVARE, 1769263664325
769e4f44-48d1-430f-be7e-aa7222e05915, Client5, CNP5, C3, W1, 9:00, REZERVARE, 1769263664329
5a331218-a13a-4ff1-82f7-c95e5887b2c3, Client18, CNP18, C3, W4, 13:00, PLATITA, 1769263662322
433f4ef0-17e4-4705-98d7-22f10ec7cf6a, Client15, CNP15, C3, W2, 15:00, REZERVARE, 1769263664329
f0de2cf2-4ffe-4afa-a553-2fc866524a54, Client10, CNP10, C1, W1, 13:00, REZERVARE, 1769263664329
bfab453b-2021-4820-a4ad-45cc24d8aa36, Client3, CNP3, C1, W3, 9:00, REZERVARE, 1769263665299
3869f7d1-1efe-40e2-9918-6021a113be14, Client0, CNP0, C3, W3, 16:00, REZERVARE, 1769263665302
87dc7111-cc9e-4c81-85c1-42855e8f7b6b, Client1, CNP1, C1, W4, 13:00, REZERVARE, 1769263665309
3359c711-069f-4b56-b550-5f80792aab53, Client9, CNP9, C1, W4, 10:00, REZERVARE, 1769263665315
80e25d8d-64d2-42eb-9ae5-6acef6998995, Client8, CNP8, C3, W3, 13:00, REZERVARE, 1769263665325
0d58b5af-454a-4813-aa5e-55c8bbf944a4, Client13, CNP13, C2, W3, 17:00, REZERVARE, 1769263666302
f2fda9a2-5543-4483-a24a-f8cda638ef1c, Client7, CNP7, C2, W3, 10:00, REZERVARE, 1769263666305
433f4ef0-17e4-4705-98d7-22f10ec7cf6a, Client15, CNP15, C3, W2, 15:00, PLATITA, 1769263664329
3afdeb35-e15f-439e-af23-72b69dff9901, Client11, CNP11, C2, W2, 9:00, REZERVARE, 1769263666333
ef1cb284-3b81-49dd-964a-f59f570e8eff, Client4, CNP4, C3, W3, 15:00, REZERVARE, 1769263666333
6ff16735-a35f-4b53-bb82-696ab60b4a57, Client5, CNP5, C1, W3, 16:00, REZERVARE, 1769263666333
f0de2cf2-4ffe-4afa-a553-2fc866524a54, Client10, CNP10, C1, W1, 13:00, PLATITA, 1769263664329
3869f7d1-1efe-40e2-9918-6021a113be14, Client0, CNP0, C3, W3, 16:00, PLATITA, 1769263665302
3cb07608-74ea-4d79-b68b-8482c8a2c5e5, Client3, CNP3, C3, W1, 11:00, REZERVARE, 1769263667306
236f70ab-2694-4082-9849-6da61282668c, Client1, CNP1, C3, W4, 12:00, REZERVARE, 1769263667312
bc5ddac1-436d-46ab-ae5b-6df55f575b23, Client9, CNP9, C1, W2, 14:00, REZERVARE, 1769263667317
35edc3d3-eea9-4e38-a80d-81e0784302fd, Client16, CNP16, C1, W4, 12:00, ANULATA, 1769263662321
80e25d8d-64d2-42eb-9ae5-6acef6998995, Client8, CNP8, C3, W3, 13:00, PLATITA, 1769263665325
5a331218-a13a-4ff1-82f7-c95e5887b2c3, Client18, CNP18, C3, W4, 13:00, ANULATA, 1769263662322
da81ec54-15a3-4c1a-ad23-87c0bd4e1622, Client13, CNP13, C1, W1, 12:00, REZERVARE, 1769263668315
3afdeb35-e15f-439e-af23-72b69dff9901, Client11, CNP11, C2, W2, 9:00, PLATITA, 1769263666333
5f0aa06f-4e60-4b95-9682-7e9c3a314275, Client15, CNP15, C1, W4, 11:00, REZERVARE, 1769263668361
236f70ab-2694-4082-9849-6da61282668c, Client1, CNP1, C3, W4, 12:00, PLATITA, 1769263667312
6ef8617e-def5-41b6-af8f-2ce4eb4e571f, Client16, CNP16, C1, W2, 11:00, REZERVARE, 1769263669337
0fd876cd-c5d6-4887-a09c-d14641d295e8, Client18, CNP18, C3, W1, 12:00, REZERVARE, 1769263669339
f0de2cf2-4ffe-4afa-a553-2fc866524a54, Client10, CNP10, C1, W1, 13:00, ANULATA, 1769263664329
3869f7d1-1efe-40e2-9918-6021a113be14, Client0, CNP0, C3, W3, 16:00, ANULATA, 1769263665302
80e25d8d-64d2-42eb-9ae5-6acef6998995, Client8, CNP8, C3, W3, 13:00, ANULATA, 1769263665325
0daaf01c-de23-4810-a36e-cf1eff7e2960, Client13, CNP13, C1, W2, 17:00, REZERVARE, 1769263670339
4dd06042-86b6-485e-b08d-28090093f6ab, Client1, CNP1, C3, W1, 17:00, REZERVARE, 1769263671334
6ef8617e-def5-41b6-af8f-2ce4eb4e571f, Client16, CNP16, C1, W2, 11:00, PLATITA, 1769263669337
3afdeb35-e15f-439e-af23-72b69dff9901, Client11, CNP11, C2, W2, 9:00, ANULATA, 1769263666333
7b55266e-c20b-4d03-95df-73f458f4f895, Client10, CNP10, C3, W4, 14:00, REZERVARE, 1769263671366
652c494c-9fd2-41b7-b431-76e2dc3fe479, Client0, CNP0, C1, W2, 15:00, REZERVARE, 1769263672334
0daaf01c-de23-4810-a36e-cf1eff7e2960, Client13, CNP13, C1, W2, 17:00, PLATITA, 1769263670339
497701b8-3590-4162-ba7a-48e95992bca8, Client8, CNP8, C3, W3, 15:00, REZERVARE, 1769263672350
8ea76921-973a-41eb-9e09-9951cf883d31, Client1, CNP1, C3, W4, 13:00, REZERVARE, 1769263673359
1717910d-6eea-4202-8c6a-7ed832dbe22c, Client16, CNP16, C1, W4, 13:00, REZERVARE, 1769263673364
d57c8ce3-8aa4-4e6e-ba2c-0dc220d627eb, Client11, CNP11, C1, W3, 16:00, REZERVARE, 1769263673372
1c95517e-e994-44ad-a093-247f0f2a8c08, Client6, CNP6, C1, W4, 16:00, EXPIRATA, 1769263658285
f740b2aa-9131-46e1-9a21-5d47fe9da05e, Client2, CNP2, C1, W4, 15:00, EXPIRATA, 1769263658284
91462e02-4108-4401-94f9-ecd9332ca650, Client19, CNP19, C2, W4, 12:00, EXPIRATA, 1769263658265
dede12b9-c822-4bee-b800-2abb6e5ee89c, Client12, CNP12, C3, W1, 17:00, EXPIRATA, 1769263658287
3712453f-f7b9-4dcd-884c-72373a0746fa, Client15, CNP15, C3, W1, 11:00, EXPIRATA, 1769263658288
c2161b3c-eff6-4091-ba2b-a8ef09d88d61, Client18, CNP18, C2, W4, 16:00, EXPIRATA, 1769263658279
37058b9e-15d0-4bb8-8d5d-4607ed3a54b5, Client0, CNP0, C1, W1, 13:00, REZERVARE, 1769263674352
abe0a037-e593-4e11-8433-a84ab3e98f67, Client13, CNP13, C3, W3, 16:00, REZERVARE, 1769263674362
497701b8-3590-4162-ba7a-48e95992bca8, Client8, CNP8, C3, W3, 15:00, PLATITA, 1769263672350
8ea76921-973a-41eb-9e09-9951cf883d31, Client1, CNP1, C3, W4, 13:00, PLATITA, 1769263673359
d57c8ce3-8aa4-4e6e-ba2c-0dc220d627eb, Client11, CNP11, C1, W3, 16:00, PLATITA, 1769263673372
3da0e4f6-1f10-4cc1-b51a-9ce2c093875c, Client16, CNP16, C2, W1, 17:00, REZERVARE, 1769263675388
cb15fc88-f57d-481d-8174-6ef7d1018493, Client2, CNP2, C3, W4, 14:00, REZERVARE, 1769263676294
3f168c29-bbe4-4ad7-aa84-2ed7615cb213, Client19, CNP19, C3, W2, 12:00, REZERVARE, 1769263676295
dbfd3832-d2a1-471f-bb04-e86a0cb7fe9c, Client6, CNP6, C2, W3, 15:00, REZERVARE, 1769263676297
3b381aa6-f097-4b70-ab2e-0ed65c76a56a, Client12, CNP12, C2, W4, 12:00, REZERVARE, 1769263676306
37058b9e-15d0-4bb8-8d5d-4607ed3a54b5, Client0, CNP0, C1, W1, 13:00, PLATITA, 1769263674352
abe0a037-e593-4e11-8433-a84ab3e98f67, Client13, CNP13, C3, W3, 16:00, PLATITA, 1769263674362
e5864ec3-fee7-472a-822b-8ef892c2c530, Client8, CNP8, C3, W3, 12:00, REZERVARE, 1769263676385
4a41d644-06c1-44fe-a866-24c7ac910a63, Client1, CNP1, C3, W1, 17:00, REZERVARE, 1769263677373
3da0e4f6-1f10-4cc1-b51a-9ce2c093875c, Client16, CNP16, C2, W1, 17:00, PLATITA, 1769263675388
cb15fc88-f57d-481d-8174-6ef7d1018493, Client2, CNP2, C3, W4, 14:00, PLATITA, 1769263676294
854501b9-1c3a-430e-9054-a659a57afa27, Client19, CNP19, C2, W1, 14:00, REZERVARE, 1769263678303
3b381aa6-f097-4b70-ab2e-0ed65c76a56a, Client12, CNP12, C2, W4, 12:00, PLATITA, 1769263676306
e5864ec3-fee7-472a-822b-8ef892c2c530, Client8, CNP8, C3, W3, 12:00, PLATITA, 1769263676385
5f54b8a5-c2da-42a1-9b5a-ae9aa816cfb5, Client13, CNP13, C3, W1, 9:00, REZERVARE, 1769263678393
d57c8ce3-8aa4-4e6e-ba2c-0dc220d627eb, Client11, CNP11, C1, W3, 16:00, ANULATA, 1769263673372
37058b9e-15d0-4bb8-8d5d-4607ed3a54b5, Client0, CNP0, C1, W1, 13:00, ANULATA, 1769263674352
4a41d644-06c1-44fe-a866-24c7ac910a63, Client1, CNP1, C3, W1, 17:00, PLATITA, 1769263677373
854501b9-1c3a-430e-9054-a659a57afa27, Client19, CNP19, C2, W1, 14:00, PLATITA, 1769263678303
46098c11-7cbf-44c2-aa54-070813026cfa, Client14, CNP14, C2, W2, 14:00, REZERVARE, 1769263680314
476b534d-d637-4131-8e36-14b61541aa21, Client2, CNP2, C1, W1, 15:00, REZERVARE, 1769263680314
02154b7e-38bd-48da-b4c7-aa002c98d6e4, Client12, CNP12, C3, W2, 9:00, REZERVARE, 1769263680316
5f54b8a5-c2da-42a1-9b5a-ae9aa816cfb5, Client13, CNP13, C3, W1, 9:00, PLATITA, 1769263678393
3da0e4f6-1f10-4cc1-b51a-9ce2c093875c, Client16, CNP16, C2, W1, 17:00, ANULATA, 1769263675388
6b5a9834-d28e-4012-ab62-7ea95c6bad13, Client11, CNP11, C3, W2, 15:00, REZERVARE, 1769263680405
2e9aa0a8-13b9-4076-a154-d12d9387bdba, Client0, CNP0, C1, W3, 10:00, REZERVARE, 1769263681375
e5864ec3-fee7-472a-822b-8ef892c2c530, Client8, CNP8, C3, W3, 12:00, ANULATA, 1769263676385
46098c11-7cbf-44c2-aa54-070813026cfa, Client14, CNP14, C2, W2, 14:00, PLATITA, 1769263680314
476b534d-d637-4131-8e36-14b61541aa21, Client2, CNP2, C1, W1, 15:00, PLATITA, 1769263680314
02154b7e-38bd-48da-b4c7-aa002c98d6e4, Client12, CNP12, C3, W2, 9:00, PLATITA, 1769263680316
104caf72-5cb2-49fa-8c1e-6c5bb7e50009, Client17, CNP17, C1, W1, 9:00, REZERVARE, 1769263682343
4a41d644-06c1-44fe-a866-24c7ac910a63, Client1, CNP1, C3, W1, 17:00, ANULATA, 1769263677373
7e26b0ec-64a5-489c-a53d-ca1b354f4d69, Client13, CNP13, C3, W4, 15:00, REZERVARE, 1769263682410
6b5a9834-d28e-4012-ab62-7ea95c6bad13, Client11, CNP11, C3, W2, 15:00, PLATITA, 1769263680405
49246ad9-bc54-4a96-8513-101a508ff9ce, Client16, CNP16, C3, W1, 14:00, REZERVARE, 1769263682415
854501b9-1c3a-430e-9054-a659a57afa27, Client19, CNP19, C2, W1, 14:00, ANULATA, 1769263678303
b1c00e3d-79d8-4d58-93e4-cdd001e29d5f, Client8, CNP8, C1, W1, 10:00, REZERVARE, 1769263683399
18e26dee-c0ee-4e35-9978-d676f90a4b79, Client7, CNP7, C3, W4, 10:00, EXPIRATA, 1769263662293
f2fda9a2-5543-4483-a24a-f8cda638ef1c, Client7, CNP7, C2, W3, 10:00, EXPIRATA, 1769263666305
3cb07608-74ea-4d79-b68b-8482c8a2c5e5, Client3, CNP3, C3, W1, 11:00, EXPIRATA, 1769263667306
4bd757cf-906a-47c2-b9fd-6c1ed8e66670, Client7, CNP7, C1, W3, 9:00, EXPIRATA, 1769263664301
bc5ddac1-436d-46ab-ae5b-6df55f575b23, Client9, CNP9, C1, W2, 14:00, EXPIRATA, 1769263667317
ef1cb284-3b81-49dd-964a-f59f570e8eff, Client4, CNP4, C3, W3, 15:00, EXPIRATA, 1769263666333
3359c711-069f-4b56-b550-5f80792aab53, Client9, CNP9, C1, W4, 10:00, EXPIRATA, 1769263665315
5f0aa06f-4e60-4b95-9682-7e9c3a314275, Client15, CNP15, C1, W4, 11:00, EXPIRATA, 1769263668361
bfab453b-2021-4820-a4ad-45cc24d8aa36, Client3, CNP3, C1, W3, 9:00, EXPIRATA, 1769263665299
5ff29e89-8271-4dc7-a248-a584cc897cc6, Client5, CNP5, C2, W3, 16:00, EXPIRATA, 1769263662317
87dc7111-cc9e-4c81-85c1-42855e8f7b6b, Client1, CNP1, C1, W4, 13:00, EXPIRATA, 1769263665309
106b3b78-3d13-49cd-ba21-9e5828f08fe3, Client10, CNP10, C2, W1, 15:00, EXPIRATA, 1769263662323
6ff16735-a35f-4b53-bb82-696ab60b4a57, Client5, CNP5, C1, W3, 16:00, EXPIRATA, 1769263666333
d3063e33-4a11-46b4-a354-667968af8546, Client18, CNP18, C3, W1, 14:00, EXPIRATA, 1769263660308
0d58b5af-454a-4813-aa5e-55c8bbf944a4, Client13, CNP13, C2, W3, 17:00, EXPIRATA, 1769263666302
d5d941c9-ae75-469e-b8ef-25af83bcd944, Client17, CNP17, C3, W3, 16:00, EXPIRATA, 1769263664325
fa6e4b10-3b0c-4e33-ad04-aa44bf90176a, Client14, CNP14, C2, W4, 15:00, EXPIRATA, 1769263662292
da81ec54-15a3-4c1a-ad23-87c0bd4e1622, Client13, CNP13, C1, W1, 12:00, EXPIRATA, 1769263668315
2bd43fe9-e08f-4307-97a8-56d3044a71ce, Client17, CNP17, C2, W1, 9:00, EXPIRATA, 1769263662320
769e4f44-48d1-430f-be7e-aa7222e05915, Client5, CNP5, C3, W1, 9:00, EXPIRATA, 1769263664329
10bd19e9-ff3e-4ade-8749-4c3a6162f3ae, Client7, CNP7, C2, W2, 10:00, REZERVARE, 1769263684318
7bec7680-2750-4ce7-ac15-c408a21d3899, Client12, CNP12, C3, W2, 16:00, REZERVARE, 1769263684329
9044d9c1-5af4-45ed-a038-39428271e779, Client2, CNP2, C1, W3, 14:00, REZERVARE, 1769263684331
4e9e582e-3a0d-45d2-a68e-96708d27a418, Client4, CNP4, C3, W4, 10:00, REZERVARE, 1769263684345
69cedd8f-9e7a-4df2-a52b-857e49920352, Client5, CNP5, C1, W3, 12:00, REZERVARE, 1769263684347
104caf72-5cb2-49fa-8c1e-6c5bb7e50009, Client17, CNP17, C1, W1, 9:00, PLATITA, 1769263682343
e0311080-57f4-41e8-8105-c6eb111aa552, Client1, CNP1, C2, W2, 12:00, REZERVARE, 1769263684388
7e26b0ec-64a5-489c-a53d-ca1b354f4d69, Client13, CNP13, C3, W4, 15:00, PLATITA, 1769263682410
932c4f8c-051c-43f4-9082-d058e559185d, Client11, CNP11, C1, W2, 11:00, REZERVARE, 1769263684423
46098c11-7cbf-44c2-aa54-070813026cfa, Client14, CNP14, C2, W2, 14:00, ANULATA, 1769263680314
8c737097-bd63-48bd-891d-c46d5c4a99a0, Client19, CNP19, C1, W1, 16:00, REZERVARE, 1769263685333
42a75d54-3c35-4e6a-ad1f-b062292ce974, Client3, CNP3, C2, W3, 15:00, REZERVARE, 1769263685334
1ddd5fe7-997f-4010-8334-181abe990b4e, Client9, CNP9, C3, W1, 17:00, REZERVARE, 1769263685336
9044d9c1-5af4-45ed-a038-39428271e779, Client2, CNP2, C1, W3, 14:00, PLATITA, 1769263684331
7bec7680-2750-4ce7-ac15-c408a21d3899, Client12, CNP12, C3, W2, 16:00, PLATITA, 1769263684329
8c7ec4fe-0995-4ea7-b76b-a9c068cff478, Client5, CNP5, C1, W2, 11:00, REZERVARE, 1769263686349
b7e7a5fb-ec0d-4ca7-960d-84b5e3ac218d, Client4, CNP4, C1, W2, 14:00, REZERVARE, 1769263686349
b990ece1-4fe0-4ab8-8562-e95f90124081, Client17, CNP17, C2, W1, 11:00, REZERVARE, 1769263686355
c830cd9a-cecb-48a5-935f-7f0ebd9a44be, Client15, CNP15, C3, W4, 12:00, REZERVARE, 1769263686376
e0311080-57f4-41e8-8105-c6eb111aa552, Client1, CNP1, C2, W2, 12:00, PLATITA, 1769263684388
b911dc3e-4f54-49d9-aacd-50729d38d513, Client11, CNP11, C3, W2, 12:00, REZERVARE, 1769263686433
9cd628d9-5dc6-434d-8153-a056b725da64, Client14, CNP14, C1, W4, 14:00, REZERVARE, 1769263687327
1ddd5fe7-997f-4010-8334-181abe990b4e, Client9, CNP9, C3, W1, 17:00, PLATITA, 1769263685336
42a75d54-3c35-4e6a-ad1f-b062292ce974, Client3, CNP3, C2, W3, 15:00, PLATITA, 1769263685334
d054981f-afd2-4d6b-8855-3a22c5cfc556, Client18, CNP18, C3, W1, 14:00, REZERVARE, 1769263687360
2777a3af-6ba3-4329-af0a-62b33c221279, Client2, CNP2, C1, W2, 15:00, REZERVARE, 1769263688345
8c7ec4fe-0995-4ea7-b76b-a9c068cff478, Client5, CNP5, C1, W2, 11:00, PLATITA, 1769263686349
b7e7a5fb-ec0d-4ca7-960d-84b5e3ac218d, Client4, CNP4, C1, W2, 14:00, PLATITA, 1769263686349
b990ece1-4fe0-4ab8-8562-e95f90124081, Client17, CNP17, C2, W1, 11:00, PLATITA, 1769263686355
1e69afd7-bb45-4797-86a7-39b4a2458b59, Client12, CNP12, C3, W2, 16:00, REZERVARE, 1769263688360
c830cd9a-cecb-48a5-935f-7f0ebd9a44be, Client15, CNP15, C3, W4, 12:00, PLATITA, 1769263686376
056a44dd-4c35-4fce-a3b0-feb43dcf84fe, Client1, CNP1, C2, W1, 9:00, REZERVARE, 1769263688394
b911dc3e-4f54-49d9-aacd-50729d38d513, Client11, CNP11, C3, W2, 12:00, PLATITA, 1769263686433
c85e673e-7f77-4fc1-aeca-f713b54cca95, Client13, CNP13, C3, W3, 11:00, REZERVARE, 1769263688438
59faa23b-ab5f-4e47-8e39-e8921cd12510, Client9, CNP9, C1, W3, 11:00, REZERVARE, 1769263689354
d054981f-afd2-4d6b-8855-3a22c5cfc556, Client18, CNP18, C3, W1, 14:00, PLATITA, 1769263687360
c89e2333-f56c-4b70-b1f3-437d92679d33, Client10, CNP10, C2, W2, 14:00, REZERVARE, 1769263689393
42a75d54-3c35-4e6a-ad1f-b062292ce974, Client3, CNP3, C2, W3, 15:00, ANULATA, 1769263685334
2777a3af-6ba3-4329-af0a-62b33c221279, Client2, CNP2, C1, W2, 15:00, PLATITA, 1769263688345
1e69afd7-bb45-4797-86a7-39b4a2458b59, Client12, CNP12, C3, W2, 16:00, PLATITA, 1769263688360
c85e673e-7f77-4fc1-aeca-f713b54cca95, Client13, CNP13, C3, W3, 11:00, PLATITA, 1769263688438
fdb7f98d-04bf-4d07-9cc8-f7865bbdaf4b, Client11, CNP11, C2, W4, 16:00, REZERVARE, 1769263690457
59faa23b-ab5f-4e47-8e39-e8921cd12510, Client9, CNP9, C1, W3, 11:00, PLATITA, 1769263689354
8c7ec4fe-0995-4ea7-b76b-a9c068cff478, Client5, CNP5, C1, W2, 11:00, ANULATA, 1769263686349
b990ece1-4fe0-4ab8-8562-e95f90124081, Client17, CNP17, C2, W1, 11:00, ANULATA, 1769263686355
45c4e78d-be8c-46fc-a2de-cf427283cdee, Client18, CNP18, C3, W3, 13:00, REZERVARE, 1769263691377
b7e7a5fb-ec0d-4ca7-960d-84b5e3ac218d, Client4, CNP4, C1, W2, 14:00, ANULATA, 1769263686349
c830cd9a-cecb-48a5-935f-7f0ebd9a44be, Client15, CNP15, C3, W4, 12:00, ANULATA, 1769263686376
c89e2333-f56c-4b70-b1f3-437d92679d33, Client10, CNP10, C2, W2, 14:00, PLATITA, 1769263689393
5faca3fe-a2ec-4b0e-bbe8-3efe49526a85, Client3, CNP3, C1, W3, 9:00, REZERVARE, 1769263692351
ad98c1df-689f-4adc-b5e9-85db221f8c78, Client2, CNP2, C1, W3, 15:00, REZERVARE, 1769263692363
fdb7f98d-04bf-4d07-9cc8-f7865bbdaf4b, Client11, CNP11, C2, W4, 16:00, PLATITA, 1769263690457
231ac025-6044-4a04-809e-3b579cc8b949, Client9, CNP9, C2, W2, 12:00, REZERVARE, 1769263693365
1e69afd7-bb45-4797-86a7-39b4a2458b59, Client12, CNP12, C3, W2, 16:00, ANULATA, 1769263688360
c9af5ed4-06a2-4373-afb8-b654b35a9591, Client5, CNP5, C3, W1, 12:00, REZERVARE, 1769263693383
ffed19fe-bdb5-4cf3-9625-3b93fbbec351, Client17, CNP17, C3, W1, 17:00, REZERVARE, 1769263693385
45c4e78d-be8c-46fc-a2de-cf427283cdee, Client18, CNP18, C3, W3, 13:00, PLATITA, 1769263691377
fe1d2cc8-91de-43f4-9d4a-ecba77f32049, Client15, CNP15, C3, W3, 12:00, REZERVARE, 1769263693397
e35477b8-efcc-4874-98a6-97920842a9c6, Client4, CNP4, C1, W2, 13:00, REZERVARE, 1769263693398
d05343f0-8c54-4c31-83ae-b000e4e95677, Client10, CNP10, C3, W3, 16:00, REZERVARE, 1769263693412
