1ce80a77-580f-429f-b7b0-a189435a920f, Client15, CNP15, C3, W4, 10:00, REZERVARE, 1769262716775
126968a0-d8c4-4c88-acab-e073cce84a64, Client2, CNP2, C1, W1, 17:00, REZERVARE, 1769262720819
c39970e9-237f-4318-969b-0826e0720ba7, Client3, CNP3, C3, W2, 12:00, PLATITA, 1769262718823
98f8b776-ebf3-4336-874f-3f56795bc5a4, Client18, CNP18, C3, W1, 11:00, REZERVARE, 1769262720829
9355731f-ad67-4b8b-bf20-78044fc302b9, Client14, CNP14, C1, W3, 16:00, REZERVARE, 1769262720829
f0b1cba3-0cf1-4d3e-8017-c24fe445e6fd, Client13, CNP13, C3, W4, 10:00, REZERVARE, 1769262720846
73a17116-1013-46c3-999f-3ff3f9f6d1f4, Client10, CNP10, C3, W1, 16:00, REZERVARE, 1769262720846
1c342a87-5816-4dfd-916c-6d4234afb98a, Client4, CNP4, C1, W4, 11:00, ANULATA, 1769262716775
dee7ff50-5025-4474-b676-238ce4277240, Client7, CNP7, C2, W1, 17:00, ANULATA, 1769262716785
41247668-d554-4a57-91dd-1e713916e33c, Client17, CNP17, C1, W3, 17:00, ANULATA, 1769262716786
365a2ef9-f9fc-4b55-acda-cfdd79cc3695, Client16, CNP16, C1, W2, 11:00, ANULATA, 1769262716791
56792761-2228-4214-acfb-a217aa4d177c, Client9, CNP9, C3, W3, 10:00, ANULATA, 1769262716793
f07c5b14-394a-4521-9dc2-1f65117cd804, Client12, CNP12, C3, W2, 10:00, ANULATA, 1769262716797
64d3520c-87cc-463f-b348-7ebf692fe71b, Client19, CNP19, C1, W4, 15:00, REZERVARE, 1769262722803
54c3048f-3e00-4ce8-8ce7-5b95dc5bed1e, Client5, CNP5, C1, W2, 10:00, REZERVARE, 1769262722821
d8ead9ca-4e1e-4f70-9c6c-39432112685e, Client6, CNP6, C1, W1, 14:00, PLATITA, 1769262720817
126968a0-d8c4-4c88-acab-e073cce84a64, Client2, CNP2, C1, W1, 17:00, PLATITA, 1769262720819
9355731f-ad67-4b8b-bf20-78044fc302b9, Client14, CNP14, C1, W3, 16:00, PLATITA, 1769262720829
4f240d4e-af80-4307-a183-bbced26558e0, Client13, CNP13, C3, W4, 11:00, REZERVARE, 1769262722850
73a17116-1013-46c3-999f-3ff3f9f6d1f4, Client10, CNP10, C3, W1, 16:00, PLATITA, 1769262720846
fbac7eda-b3e0-408b-b6dc-085f5ef5ea0a, Client4, CNP4, C3, W1, 9:00, REZERVARE, 1769262723816
82907d16-e5c5-46bb-ba5f-253633fe3eb6, Client7, CNP7, C2, W1, 14:00, REZERVARE, 1769262723818
9e44914e-8f0c-4114-b190-af2d847d829d, Client8, CNP8, C2, W4, 10:00, ANULATA, 1769262718803
0e6950fe-0798-4ae3-9c4f-9e43c3672737, Client17, CNP17, C1, W3, 9:00, REZERVARE, 1769262723831
c39970e9-237f-4318-969b-0826e0720ba7, Client3, CNP3, C3, W2, 12:00, ANULATA, 1769262718823
63f8fa9a-bf11-48d5-b2e6-c45d2d370c25, Client16, CNP16, C2, W1, 17:00, REZERVARE, 1769262723853
b35d7409-399f-4ffe-b5c4-a447ac90ab90, Client9, CNP9, C1, W3, 14:00, REZERVARE, 1769262723853
16396e24-50f9-4bc7-a64f-0d64724ba084, Client12, CNP12, C3, W1, 13:00, REZERVARE, 1769262723853
64d3520c-87cc-463f-b348-7ebf692fe71b, Client19, CNP19, C1, W4, 15:00, PLATITA, 1769262722803
54c3048f-3e00-4ce8-8ce7-5b95dc5bed1e, Client5, CNP5, C1, W2, 10:00, PLATITA, 1769262722821
f2f5eeaf-d6d6-45a5-8dac-5d725286e2e7, Client6, CNP6, C2, W4, 16:00, REZERVARE, 1769262724829
4f240d4e-af80-4307-a183-bbced26558e0, Client13, CNP13, C3, W4, 11:00, PLATITA, 1769262722850
ff24fbb5-d17e-4bfc-8f37-90b9e5727b3e, Client14, CNP14, C3, W1, 14:00, REZERVARE, 1769262724866
682a9808-3331-4426-bb81-0cd9a121f7b0, Client18, CNP18, C3, W1, 17:00, REZERVARE, 1769262724870
82907d16-e5c5-46bb-ba5f-253633fe3eb6, Client7, CNP7, C2, W1, 14:00, PLATITA, 1769262723818
99f06b50-bebe-4f38-9322-0db7eb93da99, Client3, CNP3, C2, W4, 13:00, REZERVARE, 1769262725839
0e6950fe-0798-4ae3-9c4f-9e43c3672737, Client17, CNP17, C1, W3, 9:00, PLATITA, 1769262723831
126968a0-d8c4-4c88-acab-e073cce84a64, Client2, CNP2, C1, W1, 17:00, ANULATA, 1769262720819
695f9c70-d5d1-4019-976c-c71f89cd746f, Client8, CNP8, C1, W2, 17:00, REZERVARE, 1769262725841
b35d7409-399f-4ffe-b5c4-a447ac90ab90, Client9, CNP9, C1, W3, 14:00, PLATITA, 1769262723853
975c407d-f3cb-4f53-89cb-2117b1aa1a12, Client16, CNP16, C2, W2, 17:00, REZERVARE, 1769262725859
16396e24-50f9-4bc7-a64f-0d64724ba084, Client12, CNP12, C3, W1, 13:00, PLATITA, 1769262723853
73a17116-1013-46c3-999f-3ff3f9f6d1f4, Client10, CNP10, C3, W1, 16:00, ANULATA, 1769262720846
b0f2d353-412d-47a3-a0e7-47386657e11c, Client6, CNP6, C3, W3, 15:00, REZERVARE, 1769262726837
682a9808-3331-4426-bb81-0cd9a121f7b0, Client18, CNP18, C3, W1, 17:00, PLATITA, 1769262724870
d9dfa60b-e050-4817-a5b4-e4015eb49003, Client14, CNP14, C3, W3, 10:00, REZERVARE, 1769262726884
64d3520c-87cc-463f-b348-7ebf692fe71b, Client19, CNP19, C1, W4, 15:00, ANULATA, 1769262722803
54c3048f-3e00-4ce8-8ce7-5b95dc5bed1e, Client5, CNP5, C1, W2, 10:00, ANULATA, 1769262722821
7f1cfebf-f905-4bcc-a480-b89ec2882913, Client7, CNP7, C2, W3, 17:00, REZERVARE, 1769262727836
99f06b50-bebe-4f38-9322-0db7eb93da99, Client3, CNP3, C2, W4, 13:00, PLATITA, 1769262725839
9aeb17c7-7430-4b4b-b1c6-4b742080c60c, Client17, CNP17, C1, W4, 12:00, REZERVARE, 1769262727854
0e8f42bd-1c64-4b4d-ae87-3da8a85eebad, Client2, CNP2, C1, W2, 9:00, REZERVARE, 1769262727854
975c407d-f3cb-4f53-89cb-2117b1aa1a12, Client16, CNP16, C2, W2, 17:00, PLATITA, 1769262725859
3656f9fa-7d7a-495b-9131-6c69436a9bec, Client9, CNP9, C3, W3, 9:00, REZERVARE, 1769262727872
4f240d4e-af80-4307-a183-bbced26558e0, Client13, CNP13, C3, W4, 11:00, ANULATA, 1769262722850
9b5ae0c8-3cb3-427e-a91e-2beba8b985f6, Client12, CNP12, C2, W4, 17:00, REZERVARE, 1769262727872
4cfbb413-d45b-4582-81ee-f0a268299bbf, Client10, CNP10, C2, W1, 16:00, REZERVARE, 1769262727885
2d36f9a0-3c98-4b75-8667-2040cb97472e, Client6, CNP6, C1, W4, 16:00, REZERVARE, 1769262728843
d9dfa60b-e050-4817-a5b4-e4015eb49003, Client14, CNP14, C3, W3, 10:00, PLATITA, 1769262726884
936039e7-890d-47f8-9dab-a1b91dcde4b7, Client19, CNP19, C3, W3, 13:00, REZERVARE, 1769262729826
301f056f-0788-400f-b6a9-df53fc59a43f, Client5, CNP5, C1, W1, 11:00, REZERVARE, 1769262729843
7f1cfebf-f905-4bcc-a480-b89ec2882913, Client7, CNP7, C2, W3, 17:00, PLATITA, 1769262727836
0e8f42bd-1c64-4b4d-ae87-3da8a85eebad, Client2, CNP2, C1, W2, 9:00, PLATITA, 1769262727854
3656f9fa-7d7a-495b-9131-6c69436a9bec, Client9, CNP9, C3, W3, 9:00, PLATITA, 1769262727872
56801fef-5c73-428e-b619-0730233addb3, Client13, CNP13, C2, W1, 10:00, REZERVARE, 1769262729879
9b5ae0c8-3cb3-427e-a91e-2beba8b985f6, Client12, CNP12, C2, W4, 17:00, PLATITA, 1769262727872
4cfbb413-d45b-4582-81ee-f0a268299bbf, Client10, CNP10, C2, W1, 16:00, PLATITA, 1769262727885
682a9808-3331-4426-bb81-0cd9a121f7b0, Client18, CNP18, C3, W1, 17:00, ANULATA, 1769262724870
99f06b50-bebe-4f38-9322-0db7eb93da99, Client3, CNP3, C2, W4, 13:00, ANULATA, 1769262725839
975c407d-f3cb-4f53-89cb-2117b1aa1a12, Client16, CNP16, C2, W2, 17:00, ANULATA, 1769262725859
936039e7-890d-47f8-9dab-a1b91dcde4b7, Client19, CNP19, C3, W3, 13:00, PLATITA, 1769262729826
8519cde8-eedd-43a2-8e49-5c05cdf9ce49, Client9, CNP9, C2, W1, 15:00, REZERVARE, 1769262731891
f91a9f5c-068c-4a15-b96c-aa1bd6e4e008, Client18, CNP18, C3, W2, 15:00, REZERVARE, 1769262731906
d9dfa60b-e050-4817-a5b4-e4015eb49003, Client14, CNP14, C3, W3, 10:00, ANULATA, 1769262726884
7f1cfebf-f905-4bcc-a480-b89ec2882913, Client7, CNP7, C2, W3, 17:00, ANULATA, 1769262727836
0e8f42bd-1c64-4b4d-ae87-3da8a85eebad, Client2, CNP2, C1, W2, 9:00, ANULATA, 1769262727854
933cf1df-349c-42d6-8837-c8aea0c2a99e, Client3, CNP3, C2, W3, 13:00, REZERVARE, 1769262732879
9b5ae0c8-3cb3-427e-a91e-2beba8b985f6, Client12, CNP12, C2, W4, 17:00, ANULATA, 1769262727872
d751ccc5-f3df-4f91-aa4c-c0e972463de2, Client16, CNP16, C1, W4, 17:00, REZERVARE, 1769262732891
4cfbb413-d45b-4582-81ee-f0a268299bbf, Client10, CNP10, C2, W1, 16:00, ANULATA, 1769262727885
1799e895-117d-4326-9d89-be0099b5ffc4, Client3, CNP3, C3, W1, 9:00, EXPIRATA, 1769262716790
24cf4fd9-5424-42a5-a95c-47109e2f32f6, Client8, CNP8, C1, W2, 12:00, EXPIRATA, 1769262716779
994b52c6-b00e-4f1c-81d5-e557dc69a254, Client10, CNP10, C1, W3, 13:00, EXPIRATA, 1769262716796
f035d294-b816-43a0-bde5-8895c6721de2, Client11, CNP11, C3, W2, 12:00, EXPIRATA, 1769262716798
1ce80a77-580f-429f-b7b0-a189435a920f, Client15, CNP15, C3, W4, 10:00, EXPIRATA, 1769262716775
095334ba-61cf-49f7-8392-7b5b427e2726, Client5, CNP5, C3, W1, 16:00, EXPIRATA, 1769262716780
ec55bf35-7018-4cf9-87e7-8861b81e08b9, Client0, CNP0, C3, W4, 13:00, EXPIRATA, 1769262716795
0d7564aa-e415-4dc4-a6a8-0128f6a082fe, Client1, CNP1, C1, W2, 11:00, EXPIRATA, 1769262716788
578a9e49-e414-4dfd-848e-e555becccf05, Client19, CNP19, C2, W2, 12:00, REZERVARE, 1769262733847
8519cde8-eedd-43a2-8e49-5c05cdf9ce49, Client9, CNP9, C2, W1, 15:00, PLATITA, 1769262731891
f91a9f5c-068c-4a15-b96c-aa1bd6e4e008, Client18, CNP18, C3, W2, 15:00, PLATITA, 1769262731906
ae288895-0aa8-4b44-8b76-da4d380b9f11, Client14, CNP14, C2, W4, 13:00, REZERVARE, 1769262733927
e3e5ae45-710a-44eb-982d-8de70e1bb648, Client15, CNP15, C1, W4, 15:00, REZERVARE, 1769262734815
11950739-f40f-45a2-8171-181fef391d64, Client0, CNP0, C1, W1, 15:00, REZERVARE, 1769262734815
7e2f6b1d-7181-473e-86f6-7f25bc3f9d89, Client1, CNP1, C3, W1, 10:00, REZERVARE, 1769262734815
23a5876e-c618-49df-99db-b0e7cf6a93a8, Client11, CNP11, C1, W4, 15:00, REZERVARE, 1769262734815
54ac5ae9-d033-4f7f-8b35-f56fe329f86b, Client7, CNP7, C3, W4, 10:00, REZERVARE, 1769262734878
933cf1df-349c-42d6-8837-c8aea0c2a99e, Client3, CNP3, C2, W3, 13:00, PLATITA, 1769262732879
170af796-b573-4aeb-ba46-336673a7728b, Client2, CNP2, C3, W3, 15:00, REZERVARE, 1769262734898
8824d58f-4cc6-47f8-8576-27e897e0a99c, Client12, CNP12, C2, W1, 9:00, REZERVARE, 1769262734898
d751ccc5-f3df-4f91-aa4c-c0e972463de2, Client16, CNP16, C1, W4, 17:00, PLATITA, 1769262732891
524d7ce1-70d7-4302-80e7-d1b65215067a, Client10, CNP10, C3, W3, 13:00, REZERVARE, 1769262734916
ae288895-0aa8-4b44-8b76-da4d380b9f11, Client14, CNP14, C2, W4, 13:00, PLATITA, 1769262733927
e3e5ae45-710a-44eb-982d-8de70e1bb648, Client15, CNP15, C1, W4, 15:00, PLATITA, 1769262734815
11950739-f40f-45a2-8171-181fef391d64, Client0, CNP0, C1, W1, 15:00, PLATITA, 1769262734815
89c9e76e-13e4-4ef6-b04b-a424f82f7713, Client11, CNP11, C2, W1, 13:00, REZERVARE, 1769262736830
170af796-b573-4aeb-ba46-336673a7728b, Client2, CNP2, C3, W3, 15:00, PLATITA, 1769262734898
8824d58f-4cc6-47f8-8576-27e897e0a99c, Client12, CNP12, C2, W1, 9:00, PLATITA, 1769262734898
524d7ce1-70d7-4302-80e7-d1b65215067a, Client10, CNP10, C3, W3, 13:00, PLATITA, 1769262734916
f91a9f5c-068c-4a15-b96c-aa1bd6e4e008, Client18, CNP18, C3, W2, 15:00, ANULATA, 1769262731906
8519cde8-eedd-43a2-8e49-5c05cdf9ce49, Client9, CNP9, C2, W1, 15:00, ANULATA, 1769262731891
d9cd3db9-6f3b-4c80-99f8-d5daac738c2a, Client16, CNP16, C1, W3, 17:00, REZERVARE, 1769262736922
933cf1df-349c-42d6-8837-c8aea0c2a99e, Client3, CNP3, C2, W3, 13:00, ANULATA, 1769262732879
84a90f0e-71bc-4aca-949f-2009ff4c192c, Client14, CNP14, C1, W4, 17:00, REZERVARE, 1769262737956
f0b1cba3-0cf1-4d3e-8017-c24fe445e6fd, Client13, CNP13, C3, W4, 10:00, EXPIRATA, 1769262720846
124d3f21-6865-4240-806f-4a4582d6ce16, Client19, CNP19, C2, W1, 13:00, EXPIRATA, 1769262720797
98f8b776-ebf3-4336-874f-3f56795bc5a4, Client18, CNP18, C3, W1, 11:00, EXPIRATA, 1769262720829
ce48dd0b-ab38-449c-8a54-87f4020c71cb, Client10, CNP10, C2, W3, 15:00, EXPIRATA, 1769262718831
89c9e76e-13e4-4ef6-b04b-a424f82f7713, Client11, CNP11, C2, W1, 13:00, PLATITA, 1769262736830
5b48ebb4-57e1-4944-9d72-295dfa509398, Client15, CNP15, C3, W2, 9:00, REZERVARE, 1769262738843
d1ffc919-c93a-4b02-aa60-53e87c1203f0, Client12, CNP12, C3, W2, 13:00, REZERVARE, 1769262738922
51447ce5-4ce1-4f39-b77e-0da5d8250a22, Client9, CNP9, C1, W2, 15:00, REZERVARE, 1769262738938
7f595314-dbfc-4e86-86ac-81a30b7c6e07, Client18, CNP18, C1, W3, 15:00, REZERVARE, 1769262738938
d2b2f1fa-8dfe-438f-92d0-4064ead00887, Client10, CNP10, C1, W3, 17:00, REZERVARE, 1769262738938
11950739-f40f-45a2-8171-181fef391d64, Client0, CNP0, C1, W1, 15:00, ANULATA, 1769262734815
170af796-b573-4aeb-ba46-336673a7728b, Client2, CNP2, C3, W3, 15:00, ANULATA, 1769262734898
349c43b3-3708-4e50-b011-6479229415b3, Client3, CNP3, C1, W4, 14:00, REZERVARE, 1769262739916
84a90f0e-71bc-4aca-949f-2009ff4c192c, Client14, CNP14, C1, W4, 17:00, PLATITA, 1769262737956
75a4c31b-a9a6-41b3-a8f0-69be39eac274, Client11, CNP11, C2, W2, 11:00, REZERVARE, 1769262740861
5b48ebb4-57e1-4944-9d72-295dfa509398, Client15, CNP15, C3, W2, 9:00, PLATITA, 1769262738843
d1ffc919-c93a-4b02-aa60-53e87c1203f0, Client12, CNP12, C3, W2, 13:00, PLATITA, 1769262738922
51447ce5-4ce1-4f39-b77e-0da5d8250a22, Client9, CNP9, C1, W2, 15:00, PLATITA, 1769262738938
d2b2f1fa-8dfe-438f-92d0-4064ead00887, Client10, CNP10, C1, W3, 17:00, PLATITA, 1769262738938
7cd06f63-9cb6-4e8f-8167-8b6e09fc676f, Client4, CNP4, C3, W1, 11:00, REZERVARE, 1769262741821
af740f40-3d0d-4eab-b75c-ccdc12cb5db1, Client0, CNP0, C3, W4, 10:00, REZERVARE, 1769262741852
349c43b3-3708-4e50-b011-6479229415b3, Client3, CNP3, C1, W4, 14:00, PLATITA, 1769262739916
a6c624b6-f415-4b27-a61a-3bdbf6c5c1c6, Client2, CNP2, C1, W3, 14:00, REZERVARE, 1769262741932
883895f6-8198-4279-95d4-9892ece40d5f, Client14, CNP14, C1, W1, 13:00, REZERVARE, 1769262741979
31aa1013-bdd6-4d28-92b2-0d663effebbf, Client12, CNP12, C2, W4, 16:00, REZERVARE, 1769262742933
25d0d07f-9195-4092-b0f1-ce338408be57, Client10, CNP10, C1, W4, 9:00, REZERVARE, 1769262742951
e4be428a-ff2a-4b9f-9fff-838afc67a570, Client9, CNP9, C2, W4, 15:00, REZERVARE, 1769262742951
9aeb17c7-7430-4b4b-b1c6-4b742080c60c, Client17, CNP17, C1, W4, 12:00, EXPIRATA, 1769262727854
f2f5eeaf-d6d6-45a5-8dac-5d725286e2e7, Client6, CNP6, C2, W4, 16:00, EXPIRATA, 1769262724829
ff24fbb5-d17e-4bfc-8f37-90b9e5727b3e, Client14, CNP14, C3, W1, 14:00, EXPIRATA, 1769262724866
b0f2d353-412d-47a3-a0e7-47386657e11c, Client6, CNP6, C3, W3, 15:00, EXPIRATA, 1769262726837
695f9c70-d5d1-4019-976c-c71f89cd746f, Client8, CNP8, C1, W2, 17:00, EXPIRATA, 1769262725841
63f8fa9a-bf11-48d5-b2e6-c45d2d370c25, Client16, CNP16, C2, W1, 17:00, EXPIRATA, 1769262723853
fbac7eda-b3e0-408b-b6dc-085f5ef5ea0a, Client4, CNP4, C3, W1, 9:00, EXPIRATA, 1769262723816
7cd06f63-9cb6-4e8f-8167-8b6e09fc676f, Client4, CNP4, C3, W1, 11:00, PLATITA, 1769262741821
5b48ebb4-57e1-4944-9d72-295dfa509398, Client15, CNP15, C3, W2, 9:00, ANULATA, 1769262738843
fd5de69c-f11a-42a7-a3e0-4c3840342cf1, Client8, CNP8, C2, W3, 17:00, REZERVARE, 1769262743877
af740f40-3d0d-4eab-b75c-ccdc12cb5db1, Client0, CNP0, C3, W4, 10:00, PLATITA, 1769262741852
a6c624b6-f415-4b27-a61a-3bdbf6c5c1c6, Client2, CNP2, C1, W3, 14:00, PLATITA, 1769262741932
768d048b-f43a-48cf-9036-dd9cef8bb084, Client14, CNP14, C3, W3, 16:00, REZERVARE, 1769262743988
349c43b3-3708-4e50-b011-6479229415b3, Client3, CNP3, C1, W4, 14:00, ANULATA, 1769262739916
31aa1013-bdd6-4d28-92b2-0d663effebbf, Client12, CNP12, C2, W4, 16:00, PLATITA, 1769262742933
823fcd4a-5c0b-4610-a128-e867ad17f893, Client9, CNP9, C1, W3, 16:00, REZERVARE, 1769262744957
46010ea6-4e0a-4429-a58b-e5bf74573b75, Client17, CNP17, C2, W2, 13:00, REZERVARE, 1769262745862
3253b55e-6783-4046-81cd-b2d73ae082ce, Client15, CNP15, C2, W2, 11:00, REZERVARE, 1769262745883
fd5de69c-f11a-42a7-a3e0-4c3840342cf1, Client8, CNP8, C2, W3, 17:00, PLATITA, 1769262743877
e616f606-4f79-4fa6-bc1c-cbd6723a1f87, Client0, CNP0, C2, W3, 10:00, REZERVARE, 1769262745885
4dbc0c1f-6195-4ef3-a975-0eea4ee394cd, Client2, CNP2, C1, W1, 14:00, REZERVARE, 1769262745948
768d048b-f43a-48cf-9036-dd9cef8bb084, Client14, CNP14, C3, W3, 16:00, PLATITA, 1769262743988
7cd06f63-9cb6-4e8f-8167-8b6e09fc676f, Client4, CNP4, C3, W1, 11:00, ANULATA, 1769262741821
4d9d7077-8f81-44a7-aa01-1ad942c4d96a, Client6, CNP6, C3, W1, 12:00, REZERVARE, 1769262746869
398f545c-e4bb-4b7c-b785-79cb97c8693c, Client12, CNP12, C2, W2, 12:00, REZERVARE, 1769262746949
340d228d-0384-46da-8af0-2b4d973cfa6f, Client3, CNP3, C2, W1, 17:00, REZERVARE, 1769262746949
75d0e20c-8c8d-459c-bb3e-cc08dad9554d, Client9, CNP9, C1, W1, 15:00, REZERVARE, 1769262746965
46010ea6-4e0a-4429-a58b-e5bf74573b75, Client17, CNP17, C2, W2, 13:00, PLATITA, 1769262745862
7c979b43-40af-4e99-bbe8-49957745cdc7, Client5, CNP5, C2, W4, 15:00, REZERVARE, 1769262747870
e616f606-4f79-4fa6-bc1c-cbd6723a1f87, Client0, CNP0, C2, W3, 10:00, PLATITA, 1769262745885
3253b55e-6783-4046-81cd-b2d73ae082ce, Client15, CNP15, C2, W2, 11:00, PLATITA, 1769262745883
d6d129c6-7fb5-4993-9f41-ca6cdf1b26c8, Client13, CNP13, C2, W2, 13:00, REZERVARE, 1769262747916
4dbc0c1f-6195-4ef3-a975-0eea4ee394cd, Client2, CNP2, C1, W1, 14:00, PLATITA, 1769262745948
a2163193-1248-4c06-9036-40fd6f96a4f1, Client14, CNP14, C1, W2, 16:00, REZERVARE, 1769262748010
56801fef-5c73-428e-b619-0730233addb3, Client13, CNP13, C2, W1, 10:00, EXPIRATA, 1769262729879
301f056f-0788-400f-b6a9-df53fc59a43f, Client5, CNP5, C1, W1, 11:00, EXPIRATA, 1769262729843
2d36f9a0-3c98-4b75-8667-2040cb97472e, Client6, CNP6, C1, W4, 16:00, EXPIRATA, 1769262728843
46c2407b-fc5e-424b-a92c-bf7c2183c0ad, Client4, CNP4, C3, W4, 17:00, REZERVARE, 1769262748864
4d9d7077-8f81-44a7-aa01-1ad942c4d96a, Client6, CNP6, C3, W1, 12:00, PLATITA, 1769262746869
fd5de69c-f11a-42a7-a3e0-4c3840342cf1, Client8, CNP8, C2, W3, 17:00, ANULATA, 1769262743877
398f545c-e4bb-4b7c-b785-79cb97c8693c, Client12, CNP12, C2, W2, 12:00, PLATITA, 1769262746949
340d228d-0384-46da-8af0-2b4d973cfa6f, Client3, CNP3, C2, W1, 17:00, PLATITA, 1769262746949
75d0e20c-8c8d-459c-bb3e-cc08dad9554d, Client9, CNP9, C1, W1, 15:00, PLATITA, 1769262746965
7c979b43-40af-4e99-bbe8-49957745cdc7, Client5, CNP5, C2, W4, 15:00, PLATITA, 1769262747870
0fb189c2-ac98-4b08-98b7-ae9976f3c25e, Client0, CNP0, C1, W1, 12:00, REZERVARE, 1769262749916
28c002fc-ca9e-4cf6-95de-9683db338576, Client13, CNP13, C2, W1, 14:00, REZERVARE, 1769262749935
46c2407b-fc5e-424b-a92c-bf7c2183c0ad, Client4, CNP4, C3, W4, 17:00, PLATITA, 1769262748864
46010ea6-4e0a-4429-a58b-e5bf74573b75, Client17, CNP17, C2, W2, 13:00, ANULATA, 1769262745862
74f0c0fa-a13a-4172-b5f0-0d4920630f76, Client8, CNP8, C1, W2, 9:00, REZERVARE, 1769262750903
